,participant_id,created_date,anonymised_text,admiration,amusement,anger,annoyance,anticipation,approval,confusion,curiosity,desire,disapproval,disgust,disappointed,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realisation,remorse,sadness,surprise,trust
0,participant_0,2023-03-09 05:17:54+00:00,ลบเลยๆลบเเล้ววว,,,,0.4166666666666667,0.5416666666666666,,,,,,0.5416666666666666,,,,,,,,,,,,,,,0.4791666666666667
1,participant_0,2023-04-20 04:24:13+01:00,(user-716) ฝากแอคใหม่ด้วยนะคะเเอคนี้ลืมรหัส เเอคในเครื่องนี้จะส่งต่อให้น้องงง 🥹,,,,,0.5416666666666666,,,,,,,,,,,,,,,,,,,,,
2,participant_0,2023-03-21 03:26:03+00:00,(user-190) (user-189) โอเครรร🙇🏻‍♀️💫❤️,,,,,,,,,,,,,,,,,0.375,,,,,,,,,0.5
3,participant_0,2023-03-21 03:22:49+00:00,รักร้ายดูย้อนหลังที่ไหนคั้บพี่ๆ🥺  (user-189) #MewSuppasit #มิวศุภศิษฏ์,,,,,0.5416666666666666,,0.4791666666666667,,,,,,,,,,0.4791666666666667,,,,,,,,0.4583333333333333,
4,participant_0,2023-03-15 02:45:50+00:00,มันนานมากนะที่ไม่ได้ปั่นเทรนด้วยตื่นเต้นเหมือนกัน🥹  #มิวเลียนส์5ปีแล้วจ้า (user-189),,,,,0.4791666666666667,,,,,,,,,,,,0.5,,,,,,,,0.4583333333333333,0.5208333333333334
5,participant_0,2023-03-15 02:45:09+00:00,หุ่นนี้เเหละดึ๋งมิวเลี่ยนส์คนนี้ไว้มา4-5ปี😳💝  #มิวเลียนส์5ปีแล้วจ้า (user-189) (url-1220),,,,,0.4791666666666667,,,,,,,,,,,,0.5,,,,,,,,,0.375
6,participant_0,2023-03-13 08:37:44+00:00,แก่เก่งอ่ะ รู้ได้งายยยย,,,,,,,,,,,,,,,,,,,,,,,,,0.6041666666666666,
7,participant_0,2023-03-15 02:41:58+00:00,"""ทุกคนอย่าลืม ว่าผมจะอยู่ข้างๆทุกคนเหมือนกัน""  รักที่สุดเลยพ่อหนุ่มคนนี้🤵💝  #มิวเลียนส์5ปีแล้วจ้า (user-189) (url-1221)",,,,,0.4583333333333333,,,,,,,,,,,,0.5,,,,,,,,,0.5208333333333334
8,participant_0,2023-03-15 02:39:41+00:00,(user-717) (user-189) จะกี่อารมณ์มิวเลี่ยนส์ก้ผ่านมันมาหมดเเล้วฮ่ะ🤣  #มิวเลียนส์5ปีแล้วจ้า (user-189),,,,,0.5208333333333334,,,,,,,,,,,,0.3958333333333333,,,,,,,,,0.4791666666666667
9,participant_0,2023-03-15 02:38:29+00:00,5ขวบเเล้ว ขอบคุณทุกคนที่ยังอยู่ตรงนี้อยู่ข้างไปพ่อหมีเสมอ รักพี่มิวน้าาาาา🥺💐  #มิวเลียนส์5ปีแล้วจ้า (user-189) (url-1222),,,,,0.5208333333333334,,,,,,,,,,,,0.5416666666666666,,,,,,,,0.4791666666666667,0.5208333333333334
10,participant_0,2023-03-14 07:18:54+00:00,(user-190) อ่าเครรร,,,,,,,,,,,,,,,,,0.5833333333333334,,,,,,,,,0.5208333333333334
11,participant_0,2023-03-14 07:18:27+00:00,(user-190) ดีเเล้วปลอยภัยใช่ไหมไม่เจ็บใช่ป่าววว,,,,,0.4375,,,,,,,,,,,,,,,,,,,,0.625,0.625
12,participant_0,2023-03-14 07:17:14+00:00,(user-190) ทำไมมันลงไปแบบน้านนนน,,,,,,,0.6041666666666666,,,,,,,,,,,,,,,,,,0.4791666666666667,
